,Study_ID,Site_ID,broad_outcome,detailed_outcome,is_subset,Highest_taxonomic_resolution,trophic_group,trophic_assigned,sampling_method,sampling_month,sampling_season,disturbance_type,comparison_type,disturbance_av,control_av,disturbance_av_before,control_av_before,dist_var,control_var,dist_var_before,control_var_before,var_type,dist_n,control_n,significant,approx_p_val,exact_p_val,sample_area,sampling_depth,above_below,perc_during_dist,perc_annual_dist,time_after_dist_start,time_after_dist_end,TN,SOC,soil_moisture,total_carbon,bulk_density,available_WSC,clay,sand,silt,ph,organic_carbon,lat,lon,forest_type,deciduous_coniferous,plantation,plot_area,mean_annual_precipitation,mean_annual_temperature,soil_pH,soil_type,temp_bio,precip_bio,sand_usda,silt_usda,clay_usda,temp,precip,trophic_all,temp.1,precip.1,precip_seasonality,temp_seasonality,aridity,phylum,Taxa_Class,Taxa_subclass,superorder,Taxa_order,sub_order,infraorder,Taxa_Family,Taxa_genus,Functional_group_size,body_length,body_width,min_length,max_length,av_length,min_width,max_width,av_width
1,Ashton_2019a,Ashton_2019a_1,abundance,,FALSE,Isoptera,,,visual observation,,,drought,undisturbed vs disturbed,42.01149425,22.03065134,,,2.549781187,1.509524917,,,SE,32,32,,,,144,10,belowground,60,60,910,,,,,4.2,1.4,1,24,49,27,4.6,1,4.745833333,116.9722222,tropical rainforest,deciduous,FALSE,200,,,,,25.60000038,2533,,,,25.60000038,2533,,25.60000038,253.3,12,275,1.623237699,Arthropoda,Insecta,,,Blattodea,,Isoptera,,,mesofauna,Blattodea,Isoptera,3,100,51.5,0.668875189,3.620652239,2.144763714
2,Aslam_2015a,Aslam_2015a_1,abundance,,FALSE,Mesostigmata,,predator,tullgren funnel,October,Autumn,precip_inc,undisturbed vs disturbed,2372.262774,1605.839416,,,1350.364964,711.6788321,,,SE,4,4,FALSE,>0.05,,50.3,10,belowground,100.2684564,100.2684564,365,,,,,2.1,1.4,1,11,79,10,6.4,0.5,-33.61083333,150.7422222,temperate seasonal forest,deciduous,TRUE,1600,,,5.33,sandy loam,17.20000076,894,60,25,10,17.20000076,894,predator,17.20000076,89.4,34,4501,0.35421756,Arthropoda,Arachnida,,Parasitiformes,Mesostigmata,,,,,mesofauna,Mesostigmata,Mesostigmata,0.3,1.5,0.9,0.2,4,2.1
3,Aslam_2015a,Aslam_2015a_1,abundance,,FALSE,Nematoda,,,baerman funnel,October,Autumn,precip_inc,undisturbed vs disturbed,8211.206897,7047.413793,,,1681.034483,1099.137931,,,SE,4,4,FALSE,>0.05,,50.3,10,belowground,100.2684564,100.2684564,365,,,,,2.1,1.4,1,11,79,10,6.4,0.5,-33.61083333,150.7422222,temperate seasonal forest,deciduous,TRUE,1600,,,5.33,sandy loam,17.20000076,894,60,25,10,17.20000076,894,,17.20000076,89.4,34,4501,0.35421756,Nematoda,,,,,,,,,microfauna,Nematoda,Nematoda,0.1,5,2.55,0.003285474,0.123567244,0.063426359
4,Aslam_2015a,Aslam_2015a_1,abundance,,FALSE,Oribatida,,,tullgren funnel,October,Autumn,precip_inc,undisturbed vs disturbed,2201.183432,2153.846154,,,2106.508876,1183.431953,,,SE,4,4,FALSE,>0.05,,50.3,10,belowground,100.2684564,100.2684564,365,,,,,2.1,1.4,1,11,79,10,6.4,0.5,-33.61083333,150.7422222,temperate seasonal forest,deciduous,TRUE,1600,,,5.33,sandy loam,17.20000076,894,60,25,10,17.20000076,894,,17.20000076,89.4,34,4501,0.35421756,Arthropoda,Arachnida,Acari,Acariformes,Oribatida,,,,,mesofauna,Oribatida,Acari,0.2,1.8,1,0.097692066,2.133966827,1.115829446
5,Aupic_Samain_2021a,Aupic-Samain_2021a_1,abundance,,FALSE,Acari,predator,,tullgren funnel,December,Winter,drought,undisturbed vs disturbed,5.307692308,3.369230769,,,1.015384615,0.830769231,,,SE,30,30,FALSE,>0.05,,,0,aboveground,30,30,1460,,6.39,,,7.9236,1.24,6,19,37,44,7.5,2.13,43.96527778,5.711666667,temperate seasonal forest,deciduous,FALSE,300,866.3,12.6,6.76,clay,10.5,791,22.5,20,70,12.6,866.3,predator,10.5,79.1,19,5917,0.733106985,Arthropoda,Arachnida,,Acariformes,,,,,,mesofauna,Acari,Acari,0.25,0.75,0.5,0.097692066,2.133966827,1.115829446
6,Aupic_Samain_2021a,Aupic-Samain_2021a_2,abundance,,FALSE,Acari,predator,,tullgren funnel,December,Winter,drought,undisturbed vs disturbed,4.2,8.446153846,,,0.692307692,1.8,,,SE,30,30,TRUE,<0.05,,,0,aboveground,30,30,4745,,9.62,,,7.9236,1.24,6,19,37,44,7.5,2.13,43.74138889,3.594444444,temperate seasonal forest,mixed,FALSE,300,955.4,14,6.6,clay loam,13.19999981,726,32.5,33.5,33.5,14,955.4,predator,13.19999981,72.6,25,5817,0.377893997,Arthropoda,Arachnida,,Acariformes,,,,,,mesofauna,Acari,Acari,0.25,0.75,0.5,0.097692066,2.133966827,1.115829446
7,Aupic_Samain_2021a,Aupic-Samain_2021a_3,abundance,,FALSE,Acari,predator,,tullgren funnel,December,Winter,drought,undisturbed vs disturbed,1.338461538,1.107692308,,,0.461538462,0.230769231,,,SE,30,30,FALSE,>0.05,,,0,aboveground,30,30,2555,,5.36,,,2.7495,1.41,3,21,36,43,8,0.65,43.24083333,5.677777778,temperate seasonal forest,mixed,FALSE,300,605,13.7,6.8,clay,13,699,22.5,20,70,13.7,605,predator,13,69.9,35,5500,0.554303149,Arthropoda,Arachnida,,Acariformes,,,,,,mesofauna,Acari,Acari,0.25,0.75,0.5,0.097692066,2.133966827,1.115829446
8,Aupic_Samain_2021a,Aupic-Samain_2021a_1,abundance,,FALSE,Collembola,detritivore,,tullgren funnel,December,Winter,drought,undisturbed vs disturbed,10.15151515,7.272727273,,,1.363636364,1.212121212,,,SE,30,30,FALSE,>0.05,,,0,aboveground,30,30,1460,,6.39,,,7.9236,1.24,6,19,37,44,7.5,2.13,43.96527778,5.711666667,temperate seasonal forest,deciduous,FALSE,300,866.3,12.6,6.76,clay,10.5,791,22.5,20,70,12.6,866.3,detritivore,10.5,79.1,19,5917,0.733106985,Arthropoda,Entognatha,Collembola,,,,,,,mesofauna,Collembola,Collembola,0.5,7,3.75,0.147379273,1.982891236,1.065135254
9,Aupic_Samain_2021a,Aupic-Samain_2021a_2,abundance,,FALSE,Collembola,detritivore,,tullgren funnel,December,Winter,drought,undisturbed vs disturbed,14.09090909,30.45454545,,,2.272727273,10,,,SE,30,30,TRUE,<0.05,,,0,aboveground,30,30,4745,,9.62,,,7.9236,1.24,6,19,37,44,7.5,2.13,43.74138889,3.594444444,temperate seasonal forest,mixed,FALSE,300,955.4,14,6.6,clay loam,13.19999981,726,32.5,33.5,33.5,14,955.4,detritivore,13.19999981,72.6,25,5817,0.377893997,Arthropoda,Entognatha,Collembola,,,,,,,mesofauna,Collembola,Collembola,0.5,7,3.75,0.147379273,1.982891236,1.065135254
10,Aupic_Samain_2021a,Aupic-Samain_2021a_3,abundance,,FALSE,Collembola,detritivore,,tullgren funnel,December,Winter,drought,undisturbed vs disturbed,13.03030303,23.18181818,,,1.96969697,3.03030303,,,SE,30,30,TRUE,<0.05,,,0,aboveground,30,30,2555,,5.36,,,2.7495,1.41,3,21,36,43,8,0.65,43.24083333,5.677777778,temperate seasonal forest,mixed,FALSE,300,605,13.7,6.8,clay,13,699,22.5,20,70,13.7,605,detritivore,13,69.9,35,5500,0.554303149,Arthropoda,Entognatha,Collembola,,,,,,,mesofauna,Collembola,Collembola,0.5,7,3.75,0.147379273,1.982891236,1.065135254
